imdbId,typeMovie,typeTVSeries,typeTVEpisode,ratingCount,ratingValue,genreShort,genreComedy,genreDrama,genreAdventure,genreWestern,genreRomance,genreFamily,genreFantasy,genreHorror,genreHistory,genreThriller,genreSport,genreCrime,genreMystery,genreSci-Fi,genreAction,genreWar,genreAnimation,genreMusical,genreDocumentary,genreMusic,genreBiography,genreFilm-Noir,genreNews,userReviews,criticReviews
0009018,1,0,0,0.01053,0.60206,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02533,0.07983
0010040,1,0,0,0.00166,0.47763,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.04397
0010418,1,0,0,0.0022,0.51985,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01333,0.03199
0010726,1,0,0,0.00157,0.46753,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.08777
0011652,1,0,0,0.00195,0.42878,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01667,0.08777
0012349,1,0,0,0.14802,0.6832,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18775,0.43981
0013442,1,0,0,0.11549,0.62786,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35981,0.66404
0013662,1,0,0,0.00057,0.51985,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01067,0.012
0014538,1,0,0,0.00561,0.51985,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01933,0.14693
0014624,1,0,0,0.0067,0.509,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03532,0.09967
0015648,1,0,0,0.06831,0.62786,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18453,0.37652
0015693,1,0,0,0.00088,0.4576,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00933,0.024
0015863,1,0,0,0.00544,0.5309,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022,0.13124
0015864,1,0,0,0.13052,0.65488,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18131,0.4777
0016230,1,0,0,0.00312,0.40127,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01866,0.08777
0016332,1,0,0,0.01282,0.61482,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04796,0.21652
0016630,1,0,0,0.00425,0.51985,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.11153
0016640,1,0,0,0.00054,0.4576,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.01067,0.03998
0017075,1,0,0,0.01456,0.55366,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0838,0.35224
0017136,1,0,0,0.2025,0.6832,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.3656,0.72966
